modelo,cor,tamanho,preco_unitario,quantidade_total,quantidade_reservada,status,data_atualizacao
Anne,Azul,M,79.90,3,0,ATIVO,2026-05-23
Anne,Azul,P,79.90,0,0,ATIVO,2026-05-23
Anne,Bordô,G,79.90,0,0,ATIVO,2026-05-23
Anne,Bordô,M,79.90,2,0,ATIVO,2026-05-23
Anne,Preto,M,79.90,2,0,ATIVO,2026-05-23
Lia,Azul,M,79.90,2,0,ATIVO,2026-05-23
Lia,Azul,P,79.90,3,0,ATIVO,2026-05-23
Lia,Bordô,G,79.90,0,0,ATIVO,2026-05-23
Lia,Bordô,M,79.90,0,0,ATIVO,2026-05-23
Lia,Preto,M,79.90,2,0,ATIVO,2026-05-23
Lívia,Preto,P,79.90,3,0,ATIVO,2026-05-23
Mia,Azul,M,79.90,3,0,ATIVO,2026-05-23
Mia,Preto,M,79.90,3,0,ATIVO,2026-05-23
Mia,Preto,P,79.90,2,0,ATIVO,2026-05-23
Núbia,Azul,G,79.90,0,0,ATIVO,2026-05-23
Núbia,Azul,M,79.90,3,0,ATIVO,2026-05-23
Núbia,Azul,P,79.90,3,0,ATIVO,2026-05-23
Núbia,Bordô,G,79.90,0,0,ATIVO,2026-05-23
Núbia,Bordô,M,79.90,3,0,ATIVO,2026-05-23
Núbia,Bordô,P,79.90,2,0,ATIVO,2026-05-23
Zara,Azul,G,79.90,3,0,ATIVO,2026-05-23
Zara,Azul,M,79.90,5,0,ATIVO,2026-05-23
Zara,Bordô,G,79.90,0,0,ATIVO,2026-05-23
Zara,Cinza,M,79.90,7,0,ATIVO,2026-05-23
Zara,Preto,G,79.90,3,0,ATIVO,2026-05-23
Zara,Preto,P,79.90,3,0,ATIVO,2026-05-23
